Namespace(GPU_id='1', adam_alpha=0.9, adam_beta=0.999, batch_size=64, caption_length_max=100, class_num=11000, cr_beta=0.1, dataroot='../dataset/CUHK-PEDES', dataset='CUHK-PEDES', device=device(type='cuda', index=1), epoch=60, epoch_decay=[20, 40], feature_length=1024, last_lstm=False, lr=0.001, margin=0.2, mode='train', model_name='MFNI_bert_stride3', part=6, pkl_root='../dataset/CUHK-PEDES/bert_processed_data/', resume='restart', save_path='./checkpoints/CUHK-PEDES/MFNI_bert_stride3', stride=1, vocab_size=5000, wordtype='bert')
lr:0.001
lr:0.0001
Epoch: 3/60 Setp: 650, ranking_loss: 8.35, id_loss: 13.78, mn_loss: 0.38371
Epoch: 3/60 Setp: 700, ranking_loss: 10.66, id_loss: 13.43, mn_loss: 0.46074
Epoch: 3/60 Setp: 750, ranking_loss: 8.85, id_loss: 12.58, mn_loss: 0.37956
Epoch: 3/60 Setp: 800, ranking_loss: 8.93, id_loss: 11.78, mn_loss: 0.39542
Epoch: 3/60 Setp: 850, ranking_loss: 7.41, id_loss: 12.08, mn_loss: 0.36573
Epoch: 3/60 Setp: 900, ranking_loss: 9.19, id_loss: 12.99, mn_loss: 0.42949
Epoch: 3/60 Setp: 950, ranking_loss: 7.92, id_loss: 11.13, mn_loss: 0.38129
Epoch: 3/60 Setp: 1000, ranking_loss: 8.15, id_loss: 12.34, mn_loss: 0.41871
Epoch: 3/60 Setp: 1050, ranking_loss: 6.68, id_loss: 11.73, mn_loss: 0.47004
Epoch: 3/60 , ranking_loss: 8.94, id_loss: 12.88, mn_loss: 0.41471
lr:0.001
lr:0.0001
Epoch: 4/60 Setp: 50, ranking_loss: 7.47, id_loss: 10.59, mn_loss: 0.40205
Epoch: 4/60 Setp: 100, ranking_loss: 10.24, id_loss: 10.09, mn_loss: 0.43986
Epoch: 4/60 Setp: 150, ranking_loss: 9.05, id_loss: 11.59, mn_loss: 0.40870
Epoch: 4/60 Setp: 200, ranking_loss: 5.27, id_loss: 10.37, mn_loss: 0.43966
Epoch: 4/60 Setp: 250, ranking_loss: 7.21, id_loss: 10.82, mn_loss: 0.47692
Epoch: 4/60 Setp: 300, ranking_loss: 8.07, id_loss: 11.57, mn_loss: 0.45681
Epoch: 4/60 Setp: 350, ranking_loss: 9.36, id_loss: 10.51, mn_loss: 0.53378
Epoch: 4/60 Setp: 400, ranking_loss: 8.63, id_loss: 11.75, mn_loss: 0.45018
Epoch: 4/60 Setp: 450, ranking_loss: 9.14, id_loss: 10.72, mn_loss: 0.45426
Epoch: 4/60 Setp: 500, ranking_loss: 8.63, id_loss: 11.25, mn_loss: 0.37952
Epoch: 4/60 Setp: 550, ranking_loss: 8.43, id_loss: 12.55, mn_loss: 0.42135
Epoch: 4/60 Setp: 600, ranking_loss: 7.70, id_loss: 10.00, mn_loss: 0.39538
Epoch: 4/60 Setp: 650, ranking_loss: 7.95, id_loss: 10.66, mn_loss: 0.39439
Epoch: 4/60 Setp: 700, ranking_loss: 8.13, id_loss: 10.78, mn_loss: 0.64752
Epoch: 4/60 Setp: 750, ranking_loss: 8.92, id_loss: 11.39, mn_loss: 0.38552
Epoch: 4/60 Setp: 800, ranking_loss: 8.25, id_loss: 10.89, mn_loss: 0.42644
Epoch: 4/60 Setp: 850, ranking_loss: 6.69, id_loss: 10.52, mn_loss: 0.46099
Epoch: 4/60 Setp: 900, ranking_loss: 7.41, id_loss: 11.61, mn_loss: 0.52441
Epoch: 4/60 Setp: 950, ranking_loss: 9.92, id_loss: 10.96, mn_loss: 0.46875
Epoch: 4/60 Setp: 1000, ranking_loss: 5.90, id_loss: 10.50, mn_loss: 0.39774
Epoch: 4/60 Setp: 1050, ranking_loss: 5.97, id_loss: 10.52, mn_loss: 0.39673
Epoch: 4/60 , ranking_loss: 7.85, id_loss: 10.59, mn_loss: 0.42345
lr:0.001
lr:0.0001
Epoch: 5/60 Setp: 50, ranking_loss: 7.11, id_loss: 9.06, mn_loss: 0.41314
Epoch: 5/60 Setp: 100, ranking_loss: 6.04, id_loss: 7.94, mn_loss: 0.34770
Epoch: 5/60 Setp: 150, ranking_loss: 8.31, id_loss: 10.15, mn_loss: 0.52317
Epoch: 5/60 Setp: 200, ranking_loss: 6.85, id_loss: 8.77, mn_loss: 0.42034
Epoch: 5/60 Setp: 250, ranking_loss: 7.46, id_loss: 8.29, mn_loss: 0.39309
Epoch: 5/60 Setp: 300, ranking_loss: 6.94, id_loss: 8.54, mn_loss: 0.42958
Epoch: 5/60 Setp: 350, ranking_loss: 5.34, id_loss: 8.60, mn_loss: 0.41023
Epoch: 5/60 Setp: 400, ranking_loss: 6.70, id_loss: 9.11, mn_loss: 0.36248
Epoch: 5/60 Setp: 450, ranking_loss: 5.62, id_loss: 9.04, mn_loss: 0.37505
Epoch: 5/60 Setp: 500, ranking_loss: 7.52, id_loss: 8.29, mn_loss: 0.52407
Epoch: 5/60 Setp: 550, ranking_loss: 5.87, id_loss: 7.99, mn_loss: 0.36050
Epoch: 5/60 Setp: 600, ranking_loss: 6.43, id_loss: 9.26, mn_loss: 0.43006
Epoch: 5/60 Setp: 650, ranking_loss: 7.49, id_loss: 9.26, mn_loss: 0.41914
Epoch: 5/60 Setp: 700, ranking_loss: 6.06, id_loss: 8.08, mn_loss: 0.44822
Epoch: 5/60 Setp: 750, ranking_loss: 6.40, id_loss: 8.89, mn_loss: 0.36072
